Stnr;Dato;RR;TAM;TAN;TAX
25840;10.07.1969;NA;NA;NA;NA
25840;11.07.1969;NA;NA;NA;NA
25840;12.07.1969;NA;NA;NA;NA
25840;13.07.1969;NA;NA;NA;NA
25840;14.07.1969;NA;NA;NA;NA
25840;15.07.1969;NA;NA;NA;NA
25840;16.07.1969;NA;NA;NA;NA
25840;17.07.1969;NA;NA;NA;NA
25840;18.07.1969;NA;NA;NA;NA
25840;19.07.1969;NA;NA;NA;NA
25840;20.07.1969;NA;NA;NA;NA
25840;21.07.1969;NA;NA;NA;NA
25840;22.07.1969;NA;NA;NA;NA
25840;23.07.1969;NA;NA;NA;NA
25840;24.07.1969;NA;NA;NA;NA
25840;25.07.1969;NA;NA;NA;NA
25840;26.07.1969;NA;NA;NA;NA
25840;27.07.1969;NA;NA;NA;NA
25840;28.07.1969;NA;NA;NA;NA
25840;29.07.1969;NA;NA;NA;NA
25840;30.07.1969;NA;NA;NA;NA
25840;31.07.1969;NA;NA;NA;NA
25840;01.08.1969;NA;NA;NA;NA
25840;02.08.1969;NA;NA;NA;NA
25840;03.08.1969;NA;NA;NA;NA
25840;04.08.1969;NA;NA;NA;NA
25840;05.08.1969;NA;NA;NA;NA
25840;06.08.1969;NA;NA;NA;NA
25840;07.08.1969;NA;NA;NA;NA
25840;08.08.1969;NA;NA;NA;NA
25840;09.08.1969;NA;NA;NA;NA
25840;10.08.1969;NA;NA;NA;NA
25840;11.08.1969;NA;NA;NA;NA
25840;12.08.1969;NA;NA;NA;NA
25840;13.08.1969;NA;NA;NA;NA
25840;14.08.1969;NA;NA;NA;NA
25840;15.08.1969;NA;NA;NA;NA
25840;16.08.1969;NA;NA;NA;NA
25840;17.08.1969;NA;NA;NA;NA
25840;18.08.1969;NA;NA;NA;NA
25840;19.08.1969;NA;NA;NA;NA
25840;20.08.1969;NA;NA;NA;NA
25840;21.08.1969;NA;NA;NA;NA
25840;22.08.1969;NA;NA;NA;NA
25840;23.08.1969;NA;NA;NA;NA
25840;24.08.1969;NA;NA;NA;NA
25840;25.08.1969;NA;NA;NA;NA
25840;26.08.1969;NA;NA;NA;NA
25840;27.08.1969;NA;NA;NA;NA
25840;28.08.1969;NA;NA;NA;NA
25840;29.08.1969;NA;NA;NA;NA
25840;30.08.1969;NA;NA;NA;NA
25840;31.08.1969;NA;NA;NA;NA
25840;01.09.1969;NA;NA;NA;NA
25840;02.09.1969;NA;NA;NA;NA
25840;03.09.1969;NA;NA;NA;NA
25840;04.09.1969;NA;NA;NA;NA
25840;05.09.1969;NA;NA;NA;NA
25840;06.09.1969;NA;NA;NA;NA
25840;07.09.1969;NA;NA;NA;NA
25840;08.09.1969;NA;NA;NA;NA
25840;09.09.1969;NA;NA;NA;NA
25840;10.09.1969;NA;NA;NA;NA
25840;11.09.1969;NA;NA;NA;NA
25840;12.09.1969;NA;NA;NA;NA
25840;13.09.1969;NA;NA;NA;NA
25840;14.09.1969;NA;NA;NA;NA
25840;15.09.1969;NA;NA;NA;NA
25840;16.09.1969;NA;NA;NA;NA
25840;17.09.1969;NA;NA;NA;NA
25840;18.09.1969;NA;NA;NA;NA
25840;19.09.1969;NA;NA;NA;NA
25840;20.09.1969;NA;NA;NA;NA
25840;21.09.1969;NA;NA;NA;NA
25840;22.09.1969;NA;NA;NA;NA
25840;23.09.1969;NA;NA;NA;NA
25840;24.09.1969;NA;NA;NA;NA
25840;25.09.1969;NA;NA;NA;NA
25840;26.09.1969;NA;NA;NA;NA
25840;27.09.1969;NA;NA;NA;NA
25840;28.09.1969;NA;NA;NA;NA
25840;29.09.1969;NA;NA;NA;NA
25840;30.09.1969;NA;NA;NA;NA
25840;01.10.1969;NA;NA;NA;NA
25840;02.10.1969;NA;NA;NA;NA
25840;03.10.1969;NA;NA;NA;NA
25840;04.10.1969;NA;NA;NA;NA
25840;05.10.1969;NA;NA;NA;NA
25840;06.10.1969;NA;NA;NA;NA
25840;07.10.1969;NA;NA;NA;NA
25840;08.10.1969;NA;NA;NA;NA
25840;09.10.1969;NA;NA;NA;NA
25840;10.10.1969;NA;NA;NA;NA
25840;11.10.1969;NA;NA;NA;NA
25840;12.10.1969;NA;NA;NA;NA
25840;13.10.1969;NA;NA;NA;NA
25840;14.10.1969;NA;NA;NA;NA
25840;15.10.1969;NA;NA;NA;NA
25840;16.10.1969;NA;NA;NA;NA
25840;17.10.1969;NA;NA;NA;NA
25840;18.10.1969;NA;NA;NA;NA
25840;19.10.1969;NA;NA;NA;NA
25840;20.10.1969;NA;NA;NA;NA
25840;21.10.1969;NA;NA;NA;NA
25840;22.10.1969;NA;NA;NA;NA
25840;23.10.1969;NA;NA;NA;NA
25840;24.10.1969;NA;NA;NA;NA
25840;25.10.1969;NA;NA;NA;NA
25840;26.10.1969;NA;NA;NA;NA
25840;27.10.1969;NA;NA;NA;NA
25840;28.10.1969;NA;NA;NA;NA
25840;29.10.1969;NA;NA;NA;NA
25840;30.10.1969;NA;NA;NA;NA
25840;31.10.1969;NA;NA;NA;NA
25840;01.11.1969;NA;-3.7;-11.9;1.3
25840;02.11.1969;18.4;-6.6;-8;-5.8
25840;03.11.1969;7.7;-6;-8;-4
25840;04.11.1969;8.9;-6.8;-10.5;-4.6
25840;05.11.1969;0;-17.1;-21;-8
25840;06.11.1969;0;-5.8;-18;-1.9
25840;07.11.1969;4;-5.8;-18;-1
25840;08.11.1969;2.6;-4.6;-10.6;-2.1
25840;09.11.1969;2.9;-5.2;-10.2;-1.8
25840;10.11.1969;1.7;-9.1;-12.8;-5
25840;11.11.1969;0.2;-4.9;-7.1;-4
25840;12.11.1969;6.8;-4.1;-6.5;-0.9
25840;13.11.1969;12.6;-4.2;-6;-3.2
25840;14.11.1969;3.6;-6.2;-8.5;-4
25840;15.11.1969;0.9;-5.1;-12.5;-3.3
25840;16.11.1969;0.6;-3.6;-5.4;-2.2
25840;17.11.1969;1.2;-11;-17;-4.8
25840;18.11.1969;0;-7.2;-16.8;-3.4
25840;19.11.1969;4;-4.9;-6;-3.9
25840;20.11.1969;5.1;-5.3;-6.6;-2
25840;21.11.1969;0.3;-6.6;-7.6;-5
25840;22.11.1969;0.1;-12.9;-17.5;-6.3
25840;23.11.1969;0;-14.4;-18;-9.6
25840;24.11.1969;0.1;-11.5;-13.9;-9.6
25840;25.11.1969;0.7;-21.6;-25.1;-11.4
25840;26.11.1969;0;-20.8;-29;-11.5
25840;27.11.1969;0.8;-7.2;-12.7;-5.1
25840;28.11.1969;3.6;-11.8;-19;-7.4
25840;29.11.1969;0;-11.9;-13.9;-8.7
25840;30.11.1969;0;-13.2;-20.1;-8.1
25840;01.12.1969;1.1;-3.3;-8.3;-2.3
25840;02.12.1969;4.2;-9.6;-12;-2.9
25840;03.12.1969;0.5;-12.7;-16.9;-10.8
25840;04.12.1969;0.2;-11.6;-15;-9.3
25840;05.12.1969;0;-21.4;-27.1;-12.1
25840;06.12.1969;0;-22.8;-28;-15.4
25840;07.12.1969;0;-10.3;-18;-8.6
25840;08.12.1969;6.1;-9.2;-12.5;-5.5
25840;09.12.1969;1.2;-2;-11;0.8
25840;10.12.1969;0.5;0.1;-2;2.5
25840;11.12.1969;0;-3.1;-5;-0.9
25840;12.12.1969;1.8;-5.2;-12.9;-3.6
25840;13.12.1969;3.8;-7.5;-8.5;-2.6
25840;14.12.1969;0.6;-9.4;-14.1;-6.6
25840;15.12.1969;0.8;-10;-11.1;-9.1
25840;16.12.1969;0.3;-13.2;-17.6;-10.1
25840;17.12.1969;0.1;-14.5;-17.8;-11.9
25840;18.12.1969;0.1;-15.6;-17;-13.2
25840;19.12.1969;0;-17.7;-20.5;-16
25840;20.12.1969;0;-17;-22;-15.4
25840;21.12.1969;0;-15.4;-19.1;-13.6
25840;22.12.1969;0.9;-12;-16;-9.6
25840;23.12.1969;5.4;-9;-10.6;-7.5
25840;24.12.1969;1.6;-6.2;-8.5;-3.9
25840;25.12.1969;0;-10.1;-12.8;-7
25840;26.12.1969;0.1;-14.8;-21.8;-11.3
25840;27.12.1969;0;-5.2;-15;-2.9
25840;28.12.1969;0.7;-3.2;-5.4;-1.8
25840;29.12.1969;0;-2.1;-2.7;-1.1
25840;30.12.1969;0.1;-7.3;-11.5;-1.2
25840;31.12.1969;0.1;-5.3;-11.6;-3
25840;01.01.1970;0.7;-8.2;-10;-3.9
25840;02.01.1970;1.2;-15.4;-17.5;-7.4
25840;03.01.1970;0.7;-10.9;-16.3;-10
25840;04.01.1970;1.3;-16.3;-20.5;-10
25840;05.01.1970;0;-11.4;-19;-9.5
25840;06.01.1970;0.2;-14.6;-22.5;-10
25840;07.01.1970;0.3;-10.3;-20;-8.4
25840;08.01.1970;0.4;-10;-14.1;-7.2
25840;09.01.1970;0;-12;-16.9;-8.1
25840;10.01.1970;0.2;-11.3;-19.5;-8.6
25840;11.01.1970;4.8;-6.5;-10;-3.9
25840;12.01.1970;8;-8.1;-9;-4.4
25840;13.01.1970;10.8;-8.6;-10.2;-7.6
25840;14.01.1970;3.3;-11;-12.6;-8.9
25840;15.01.1970;0.6;-19.4;-21.1;-9.9
25840;16.01.1970;0;-19.7;-24.6;-18
25840;17.01.1970;0;-14;-20.5;-11.6
25840;18.01.1970;0;-15.7;-17.2;-14
25840;19.01.1970;3.7;-9;-16.4;-2.8
25840;20.01.1970;1;-5.8;-9.1;-1.9
25840;21.01.1970;0;-4.3;-11.1;-0.1
25840;22.01.1970;0;-8.1;-12.3;-1
25840;23.01.1970;0;-11.1;-14.2;-9.2
25840;24.01.1970;0;-11.7;-13.4;-8.8
25840;25.01.1970;0.2;-11.1;-12.6;-9.5
25840;26.01.1970;0.2;-9.5;-11.3;-8.1
25840;27.01.1970;1.8;-6.3;-8.8;-4.8
25840;28.01.1970;1.1;-10.3;-16.1;-3.6
25840;29.01.1970;1.6;-8.8;-19.8;-5.8
25840;30.01.1970;0;-12.9;-20.6;-6
25840;31.01.1970;0;-17.1;-23.6;-9.3
25840;01.02.1970;0;-7.6;-12.4;-5
25840;02.02.1970;0;-11.1;-13.1;-5
25840;03.02.1970;0.4;-9.2;-12.3;-6.1
25840;04.02.1970;2.2;-13.5;-17.5;-7
25840;05.02.1970;0;-22.5;-26;-14.5
25840;06.02.1970;0.1;-13.7;-27.3;-10.8
25840;07.02.1970;0.4;-10.6;-13.5;-8.1
25840;08.02.1970;3.6;-16.1;-18.9;-8.2
25840;09.02.1970;0.8;-15;-27.5;-12
25840;10.02.1970;0.6;-16.5;-19.1;-11.9
25840;11.02.1970;1;-19.4;-24.9;-14.2
25840;12.02.1970;0;-15.8;-21.1;-11.4
25840;13.02.1970;0.5;-24.4;-29.4;-18.1
25840;14.02.1970;0;-17.6;-27.9;-11.6
25840;15.02.1970;0;-15.2;-21.6;-12.2
25840;16.02.1970;0;-19;-26.9;-14.6
25840;17.02.1970;0;-13;-17.8;-10.9
25840;18.02.1970;0.9;-10.8;-12.9;-9.1
25840;19.02.1970;0.2;-12.8;-16.8;-10.4
25840;20.02.1970;0.7;-13.6;-14.9;-10.9
25840;21.02.1970;0;-14.8;-16.1;-12.4
25840;22.02.1970;0.3;-12.1;-14.9;-9.6
25840;23.02.1970;3.3;-13.2;-15;-9.9
25840;24.02.1970;1;-16.1;-18.4;-11.8
25840;25.02.1970;1.7;-14.8;-20.4;-10.4
25840;26.02.1970;0.2;-11.1;-16.4;-6.8
25840;27.02.1970;0;-19;-25.1;-12
25840;28.02.1970;0;-11.5;-20.3;-5.9
25840;01.03.1970;1.9;-6.9;-10;-3
25840;02.03.1970;3;-11.1;-14.7;-8.5
25840;03.03.1970;0.3;-9.1;-10.6;-6.3
25840;04.03.1970;0.2;-10.4;-12;-9.1
25840;05.03.1970;0.1;-9.9;-11.6;-6.9
25840;06.03.1970;0;-7.7;-10.9;-6.5
25840;07.03.1970;0.2;-7;-9.1;-6.1
25840;08.03.1970;6.2;-10.1;-16.8;-3.1
25840;09.03.1970;1.1;-11.9;-19.4;-7.9
25840;10.03.1970;1.2;-11.2;-12.3;-8.6
25840;11.03.1970;1.2;-10.1;-13;-8.4
25840;12.03.1970;0.4;-12.3;-16.2;-7.8
25840;13.03.1970;0;-14.8;-24.1;-4.1
25840;14.03.1970;0;-6.3;-11;-4.6
25840;15.03.1970;0.3;-4.9;-6.1;-2.6
25840;16.03.1970;0.1;-3.7;-6.1;-2.1
25840;17.03.1970;2.1;-1.4;-4.1;1.5
25840;18.03.1970;4.4;-4.1;-5.4;-2.4
25840;19.03.1970;0.8;-6.7;-8.9;-5
25840;20.03.1970;0.2;-8.5;-10.2;-5.5
25840;21.03.1970;0;-9.2;-13.5;-6
25840;22.03.1970;1;-6.6;-9;-4
25840;23.03.1970;2.5;-6.8;-9.8;-4.5
25840;24.03.1970;0.6;-9.2;-11.6;-3
25840;25.03.1970;0;-6.3;-12.4;-3
25840;26.03.1970;1.5;-8.4;-11;-4
25840;27.03.1970;0.2;-12.5;-15;-9
25840;28.03.1970;0;-12.1;-16;-4.5
25840;29.03.1970;0;-10;-16.5;-5
25840;30.03.1970;0;-13.4;-21.1;-5.4
25840;31.03.1970;0.4;-10.3;-13.4;-9.1
25840;01.04.1970;0.3;-12.4;-18;-7.2
25840;02.04.1970;0;-11.3;-15.6;-5.8
25840;03.04.1970;0;-10.5;-20;-4.1
25840;04.04.1970;0;-14.8;-24.1;-6.3
25840;05.04.1970;0;-9.1;-14.4;-5.7
25840;06.04.1970;0.9;-9.5;-12.4;-4.6
25840;07.04.1970;0;-10.2;-18;-4
25840;08.04.1970;0;-5.4;-10.6;-2.8
25840;09.04.1970;0.5;-7.4;-8.7;-3.6
25840;10.04.1970;0;-9.4;-16.8;-2.5
25840;11.04.1970;0;-10.5;-17;-2.4
25840;12.04.1970;0;-8.3;-16.5;0
25840;13.04.1970;0;-10.9;-20.8;0.2
25840;14.04.1970;0;-11.5;-20.4;0.2
25840;15.04.1970;0;-4.5;-16.3;0.6
25840;16.04.1970;0.6;-0.4;-3;1.4
25840;17.04.1970;0.7;0.4;-1.4;3.6
25840;18.04.1970;3.7;-0.3;-2.1;1.2
25840;19.04.1970;0.7;-2.5;-3.1;0.8
25840;20.04.1970;0;-3.5;-7;2.1
25840;21.04.1970;0;-6.4;-12.9;0.2
25840;22.04.1970;1.5;-4.1;-7.6;0.6
25840;23.04.1970;1;-3.2;-5.5;-1.6
25840;24.04.1970;7.3;-2.7;-3.9;0
25840;25.04.1970;3.4;-4.1;-4.7;-3
25840;26.04.1970;0;-8.3;-17.1;-0.6
25840;27.04.1970;0;-6.5;-12;0.3
25840;28.04.1970;0.7;-7.2;-9.3;-1.8
25840;29.04.1970;0.7;-6.9;-13.1;-3.5
25840;30.04.1970;0;-3.1;-7.9;3
25840;01.05.1970;0;-2.5;-8.9;4.9
25840;02.05.1970;0;-1.8;-5.4;0.7
25840;03.05.1970;1.5;-1;-4.7;4.1
25840;04.05.1970;0;0;-3;3.4
25840;05.05.1970;0;-1.7;-4.3;2
25840;06.05.1970;0;0.7;-3.6;4.9
25840;07.05.1970;0;2.8;0;5.9
25840;08.05.1970;0;0.5;-1.1;4.1
